flow_idx,flow_label,source,value,coverage,frequency,spatial,sigma,relative_sigma
0,bauxite_mining -> bauxite,USGS value 1,229.0,1.0,2.0,4.0,148.61626696428596,0.6489793317217727
0,bauxite_mining -> bauxite,USGS value 2,229.0,1.0,2.0,4.0,148.61626696428596,0.6489793317217727
1,import_of_bauxite -> bauxite,USGS value 1,4350.0,4.0,3.0,4.0,217.5,0.05
1,import_of_bauxite -> bauxite,USGS value 2,4360.0,4.0,3.0,4.0,218.0,0.05
2,bauxite -> export_bauxite,USGS value 1,29.0,4.0,3.0,4.0,5.634194127143075,0.19428255610838188
2,bauxite -> export_bauxite,USGS value 2,40.0,4.0,3.0,4.0,7.771302244335275,0.19428255610838188
3,bauxite -> bauxite_non_aluminum_use,USGS value 1,229.0,1.0,2.0,4.0,148.61626696428596,0.6489793317217727
3,bauxite -> bauxite_non_aluminum_use,USGS value 2,229.0,1.0,2.0,4.0,148.61626696428596,0.6489793317217727
4,bauxite -> bauxite_refining_to_alumina,USGS value 1,4321.0,1.0,1.0,4.0,3183.7400211250224,0.7368062997280774
4,bauxite -> bauxite_refining_to_alumina,USGS value 2,4320.0,1.0,1.0,4.0,3183.0032148252944,0.7368062997280774
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 1,1330.0,4.0,3.0,4.0,66.5,0.05
5,import_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 2,1300.0,4.0,3.0,4.0,65.0,0.05
6,bauxite_refining_to_alumina -> waste_bauxite,USGS value 1,2377.0,1.0,1.0,4.0,1751.38857445364,0.7368062997280774
6,bauxite_refining_to_alumina -> waste_bauxite,USGS value 2,2376.0,1.0,1.0,4.0,1750.651768153912,0.7368062997280774
7,bauxite_refining_to_alumina -> export_alumina,USGS value 1,481.0,4.0,3.0,4.0,93.44990948813168,0.19428255610838188
7,bauxite_refining_to_alumina -> export_alumina,USGS value 2,450.0,4.0,3.0,4.0,87.42715024877185,0.19428255610838188
8,bauxite_refining_to_alumina -> alumina_non_aluminum_use,USGS value 1,781.0,4.0,3.0,4.0,151.73467632064626,0.19428255610838188
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 1,739.0,4.0,3.0,4.0,143.57480896409422,0.19428255610838188
9,bauxite_refining_to_alumina -> primary_smelting_hall_hauroult_to_aluminum,USGS value 2,770.0,4.0,3.0,4.0,149.59756820345405,0.19428255610838188
10,primary_smelting_hall_hauroult_to_aluminum -> waste_alumina,USGS value 1,1328.0,1.0,1.0,4.0,978.4787660388869,0.7368062997280774
11,primary_smelting_hall_hauroult_to_aluminum -> remelting,USGS value 1,506.0,1.0,1.0,3.0,724.3319730157228,1.4314861126792942
12,primary_smelting_hall_hauroult_to_aluminum -> refining,USGS value 1,235.0,1.0,1.0,3.0,336.3992364796341,1.4314861126792942
13,import_unwrought_aluminum_ingot -> remelting,USGS value 1,3299.0,1.0,1.0,3.0,164.95000000000002,0.05
14,import_unwrought_aluminum_ingot -> refining,USGS value 1,1531.0,1.0,1.0,3.0,76.55,0.049999999999999996
15,remelting -> loss_remelting,USGS value 1,444.2105263157895,1.0,1.0,3.0,635.8811995270128,1.4314861126792942
15,remelting -> loss_remelting,USGS value 2,212.0,1.0,1.0,3.0,303.4750558880104,1.4314861126792944
16,remelting -> wrought_aluminum_ingot,USGS value 1,8440.0,1.0,1.0,4.0,6218.645169704973,0.7368062997280774
17,refining -> loss_refining,USGS value 1,792.0,1.0,1.0,3.0,1133.737001242001,1.4314861126792942
17,refining -> loss_refining,USGS value 2,98.0,1.0,1.0,3.0,140.28563904257084,1.4314861126792942
18,refining -> cast_aluminum_ingot,Other literature,3177.0,1.0,1.0,1.0,6354.0,2.0
18,refining -> cast_aluminum_ingot,USGS value 1,2350.0,1.0,1.0,4.0,1731.494804360982,0.7368062997280774
19,alloying_element_si -> remelting,USGS value 1,231.0,1.0,1.0,3.0,330.67329202891693,1.4314861126792942
20,alloying_element_si -> refining,USGS value 1,110.0,1.0,1.0,3.0,157.46347239472234,1.4314861126792942
21,alloying_element_mg -> remelting,USGS value 1,70.53,1.0,1.0,3.0,100.96271552727062,1.4314861126792942
22,alloying_element_mg -> refining,USGS value 1,0.0,1.0,1.0,3.0,1.4314861126792942,1431486112.679294
23,alloying_element_other -> remelting,USGS value 1,20.0,1.0,1.0,3.0,28.629722253585882,1.4314861126792942
24,alloying_element_other -> refining,USGS value 1,20.0,1.0,1.0,3.0,28.629722253585882,1.4314861126792942
25,import_scrap -> eol_scrap_generated,USGS value 1,720.0,4.0,3.0,4.0,36.0,0.05
26,eol_scrap_generated -> export_eol_scrap,USGS value 1,1570.0,4.0,3.0,4.0,78.5,0.05
27,eol_scrap_generated -> loss_eol_scrap,USGS value 1,1555.0,1.0,1.0,4.0,1145.7337960771604,0.7368062997280774
28,eol_scrap_generated -> eol_scrap_recycled,USGS value 1,1727.0,4.0,3.0,4.0,335.5259743991755,0.19428255610838185
29,eol_scrap_recycled -> remelting,USGS value 1,1070.0,1.0,1.0,3.0,1531.6901405668448,1.4314861126792942
30,eol_scrap_recycled -> refining,USGS value 1,658.0,1.0,1.0,3.0,941.9178621429755,1.4314861126792942
31,forming_scrap_generated -> loss_forming_scrap,USGS value 1,87.0,1.0,1.0,3.0,124.53929180309859,1.4314861126792942
32,forming_scrap_generated -> forming_scrap_recycled,USGS value 1,2665.0,1.0,1.0,3.0,3814.910490290319,1.4314861126792942
33,forming_scrap_recycled -> remelting,USGS value 1,2677.0,1.0,1.0,1.0,5354.0,2.0
34,forming_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,2.0,1999999999.9999998
35,fabrication_scrap_generated -> loss_fabrication_scrap,USGS value 1,49.0,1.0,1.0,3.0,70.14281952128542,1.4314861126792942
36,fabrication_scrap_generated -> fabrication_scrap_recycled,USGS value 1,971.0,4.0,3.0,4.0,188.64836198123882,0.1942825561083819
37,fabrication_scrap_recycled -> remelting,USGS value 1,922.0,1.0,1.0,1.0,1844.0,2.0
38,fabrication_scrap_recycled -> refining,USGS value 1,0.0,1.0,1.0,1.0,2.0,1999999999.9999998
39,wrought_aluminum_ingot -> 1xxx,Other literature,2336.0,1.0,1.0,1.0,4672.0,2.0
39,wrought_aluminum_ingot -> 1xxx,USGS value 1,1728.0,1.0,1.0,3.0,2473.60800270982,1.431486112679294
40,wrought_aluminum_ingot -> 2xxx,Other literature,85.0,1.0,1.0,1.0,170.0,2.0
40,wrought_aluminum_ingot -> 2xxx,USGS value 1,238.0,1.0,1.0,3.0,340.693694817672,1.4314861126792942
41,wrought_aluminum_ingot -> 3xxx,Other literature,1256.0,1.0,1.0,1.0,2512.0,2.0
41,wrought_aluminum_ingot -> 3xxx,USGS value 1,2848.0,1.0,1.0,3.0,4076.87244891063,1.4314861126792942
42,wrought_aluminum_ingot -> 4xxx,Other literature,50.0,1.0,1.0,1.0,100.0,2.0
42,wrought_aluminum_ingot -> 4xxx,USGS value 1,117.0,1.0,1.0,3.0,167.4838751834774,1.4314861126792942
43,wrought_aluminum_ingot -> 5xxx,Other literature,3047.0,1.0,1.0,1.0,6094.0,2.0
43,wrought_aluminum_ingot -> 5xxx,USGS value 1,2762.0,1.0,1.0,3.0,3953.7646432202105,1.4314861126792942
44,wrought_aluminum_ingot -> 6xxx,Other literature,3771.0,1.0,1.0,1.0,7542.0,2.0
44,wrought_aluminum_ingot -> 6xxx,USGS value 1,3218.0,1.0,1.0,3.0,4606.5223106019685,1.4314861126792942
45,wrought_aluminum_ingot -> 7xxx,Other literature,254.0,1.0,1.0,1.0,508.0,2.0
45,wrought_aluminum_ingot -> 7xxx,USGS value 1,887.0,1.0,1.0,3.0,1269.7281819465338,1.4314861126792942
46,wrought_aluminum_ingot -> 8xxx,Other literature,267.0,1.0,1.0,1.0,534.0,2.0
46,wrought_aluminum_ingot -> 8xxx,USGS value 1,94.0,1.0,1.0,3.0,134.55969459185366,1.4314861126792942
47,cast_aluminum_ingot -> 36x,USGS value 1,139.9873943233654,,,,13.998739432336542,0.1
48,cast_aluminum_ingot -> 38x,USGS value 1,1369.275605676634,,,,136.92756056766342,0.1
49,cast_aluminum_ingot -> 2xx,USGS value 1,5.802579327688045,,,,0.5802579327688046,0.1
50,cast_aluminum_ingot -> 3xx,USGS value 1,567.7059997361048,,,,56.77059997361048,0.1
51,cast_aluminum_ingot -> 4xx,USGS value 1,7.889786477696971,,,,0.7889786477696972,0.1
52,cast_aluminum_ingot -> 5xx,USGS value 1,44.9000575912573,,,,4.49000575912573,0.1
53,cast_aluminum_ingot -> 7xx,USGS value 1,8.033237140927826,,,,0.8033237140927826,0.1
54,cast_aluminum_ingot -> other,USGS value 1,289.7703397263251,,,,28.977033972632512,0.1
55,36x -> die_cast,USGS value 1,147.475924987329,,,,14.7475924987329,0.1
56,38x -> die_cast,USGS value 1,1442.524075012671,,,,144.2524075012671,0.1
57,2xx -> sand_cast,USGS value 1,1.923056763564638,,,,0.1923056763564638,0.1
58,3xx -> sand_cast,USGS value 1,188.1457884253907,,,,18.81457884253907,0.1
59,4xx -> sand_cast,USGS value 1,2.614786699531646,,,,0.2614786699531646,0.1
60,5xx -> sand_cast,USGS value 1,14.88051339915282,,,,1.4880513399152822,0.1
61,7xx -> sand_cast,USGS value 1,2.662328275886768,,,,0.26623282758867683,0.1
62,other -> sand_cast,USGS value 1,84.77352643647342,,,,8.477352643647341,0.09999999999999999
63,2xx -> permanent_semi_permanent_mold_cast,USGS value 1,3.846113527129276,,,,0.3846113527129276,0.1
64,3xx -> permanent_semi_permanent_mold_cast,USGS value 1,376.2915768507814,,,,37.62915768507814,0.1
65,4xx -> permanent_semi_permanent_mold_cast,USGS value 1,5.229573399063292,,,,0.5229573399063292,0.1
66,5xx -> permanent_semi_permanent_mold_cast,USGS value 1,29.76102679830564,,,,2.9761026798305643,0.1
67,7xx -> permanent_semi_permanent_mold_cast,USGS value 1,5.324656551773534,,,,0.5324656551773533,0.09999999999999999
68,other -> permanent_semi_permanent_mold_cast,USGS value 1,169.5470528729468,,,,16.954705287294683,0.10000000000000002
69,other -> other_cast,USGS value 1,25.0,,,,2.5,0.1
70,cast_aluminum_ingot -> export_cast_aluminum_ingot,USGS value 1,275.0,4.0,3.0,4.0,53.427702929805015,0.19428255610838188
72,die_cast -> scrap_cast,USGS value 1,530.0,1.0,1.0,3.0,758.6876397200259,1.4314861126792942
73,scrap_cast -> die_cast,USGS value 1,530.0,1.0,1.0,3.0,758.6876397200259,1.4314861126792942
74,sand_cast -> scrap_sand_cast,USGS value 1,197.0,1.0,1.0,3.0,282.00276419782097,1.4314861126792942
75,scrap_sand_cast -> sand_cast,USGS value 1,197.0,1.0,1.0,3.0,282.00276419782097,1.4314861126792942
76,permanent_semi_permanent_mold_cast -> scrap_semi_permanent_mold_cast,USGS value 1,197.0,1.0,1.0,3.0,282.00276419782097,1.4314861126792942
77,scrap_semi_permanent_mold_cast -> permanent_semi_permanent_mold_cast,USGS value 1,197.0,1.0,1.0,3.0,282.00276419782097,1.4314861126792942
78,other_cast -> scrap_other_cast,USGS value 1,17.0,1.0,1.0,3.0,24.335263915548,1.4314861126792942
79,scrap_other_cast -> other_cast,USGS value 1,17.0,1.0,1.0,3.0,24.335263915548,1.4314861126792942
80,die_cast -> export_cast_semifinished_products,USGS value 1,18.0,4.0,3.0,4.0,3.497086009950874,0.19428255610838188
81,1xxx -> rolling,USGS value 1,1116.0,1.0,1.0,3.0,1597.5385017500923,1.4314861126792942
82,1xxx -> extrusion,USGS value 1,274.0,1.0,1.0,3.0,392.2271948741266,1.4314861126792942
